dev:  cuda OrderedDict([('run_id', '0'), ('env', 'CartpoleStabShort-v0'), ('steps', '1000000'), ('batch_size', '2024'), ('buffer_size', '100000'), ('warmup_samples', '50000'), ('actor_lr', '0.0001'), ('critic_lr', '0.0001'), ('actor_hidden_layers', '[100,100,50]'), ('critic_hidden_layers', '[100,100]'), ('tau', '0.01'), ('noise_decay', '0.99'), ('', '')])
1000000 50000 100000 2024 0.0001 0.0001 0.99 0.01 [100, 100, 50] [100, 100]
tensor([-5.], device='cuda:0') tensor([5.], device='cuda:0')
Training started...
0 /1000000 | 0 /0 | 0 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
120 /1000000 | 239 /0 | 120 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
249 /1000000 | 257 /0 | 249 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
444 /1000000 | 389 /0 | 444 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
602 /1000000 | 315 /0 | 602 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
709 /1000000 | 213 /0 | 709 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
838 /1000000 | 257 /0 | 838 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
970 /1000000 | 263 /0 | 970 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
1092 /1000000 | 243 /0 | 1092 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
1210 /1000000 | 235 /0 | 1210 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
1342 /1000000 | 263 /0 | 1342 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
1457 /1000000 | 229 /0 | 1457 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
1543 /1000000 | 171 /0 | 1543 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
1688 /1000000 | 289 /0 | 1688 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
1780 /1000000 | 183 /0 | 1780 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
2019 /1000000 | 477 /0 | 2019 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
2128 /1000000 | 217 /0 | 2128 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
2353 /1000000 | 449 /0 | 2353 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
2455 /1000000 | 203 /0 | 2455 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
2581 /1000000 | 251 /0 | 2581 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
2709 /1000000 | 255 /0 | 2709 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
2874 /1000000 | 329 /0 | 2874 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
2997 /1000000 | 245 /0 | 2997 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
3200 /1000000 | 405 /0 | 3200 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
3345 /1000000 | 289 /0 | 3345 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
3651 /1000000 | 611 /0 | 3651 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
3863 /1000000 | 423 /0 | 3863 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
4096 /1000000 | 465 /0 | 4096 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
4219 /1000000 | 245 /0 | 4219 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
4364 /1000000 | 289 /0 | 4364 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
4441 /1000000 | 153 /0 | 4441 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
4597 /1000000 | 310 /0 | 4597 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
4868 /1000000 | 541 /0 | 4868 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
5009 /1000000 | 281 /0 | 5009 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
5166 /1000000 | 313 /0 | 5166 /100000 | alr,clr: 1.00E-04 1.00E-04 | bs: 2024
